point_id,point,weight,speech_evidence
P01,"Europe must seize an independence moment by controlling its defence, security, technology, energy and democratic destiny.",3,This must be Europe's Independence Moment.
P02,"Unity among Member States, EU institutions and pro-European democratic forces is essential.",3,So my pitch today is a pitch for unity. Unity between Member States. Unity between EU institutions. Unity between the pro-European democratic forces in this House.
P03,The war must end in a just and lasting peace that preserves Ukraine's freedom.,3,This war needs to end with a just and lasting peace for Ukraine. Because Ukraine's freedom is Europe's freedom.
P04,Europe should finance Ukraine through a Reparations Loan backed by cash balances associated with immobilised Russian assets.,3,"With the cash balances -associated to these Russian assets, we can provide Ukraine with a Reparations Loan. The assets themselves will not be touched."
P05,Europe will frontload EUR 6 billion and form a Drone Alliance with Ukraine.,2,Europe will frontload EUR 6 billion from the ERA loan and enter into a Drone Alliance with Ukraine.
P06,Europe must assume greater responsibility for its security through a stronger European defence posture and major joint investment.,3,"That means Europe must be ready to take responsibility for its own security. Of course, NATO will always be essential. But only a strong and credible European defence posture will be able to guarantee our security."
P07,"EU enlargement to Ukraine, Moldova and the Western Balkans is presented as a security guarantee and part of Europe's reunification.",2,"A larger and stronger Union is a security guarantee for all of us. And because for Ukraine, for Moldova, for the Western Balkans – their future is in our Union."
P08,The Commission will propose sanctions on extremist Israeli ministers and violent settlers and a partial trade-related suspension of the Association Agreement.,3,We will propose sanctions on the extremist ministers and on violent settlers. And we will also propose a partial suspension of the Association Agreement on trade-related matters.
P09,"Europe calls for hostage releases, unrestricted humanitarian aid, an immediate ceasefire and a two-state solution.",3,"And that means that the hostages must be released. That there should be unrestrained access for all humanitarian aid. And that there must be an immediate ceasefire. But in the longer term, the only realistic peace plan is one based on two States."
P10,European competitiveness requires large investments in digital and clean technology and reduced regulatory burdens on business.,3,"This is why we will massively invest in digital and clean tech. With more to come in our future Competitiveness Fund and a doubled Horizon Europe, our research and innovation programme."
P11,"The Commission will issue a Single Market Roadmap to 2028 to address barriers in areas including capital, services, energy and telecommunications.",2,"This is why we will present a Single Market Roadmap to 2028. On capital, services, energy, telecoms, the 28th regime and the fifth freedom for knowledge and innovation."
P12,Europe will pursue technological sovereignty by investing in European AI capabilities and AI Gigafactories.,2,A European AI is essential for our future independence. It will help power our industries and our societies. From healthcare to defence.
P13,The Commission plans measures to accelerate European clean technology and strategic industry.,2,"So the Commission will propose an Industrial Accelerator Act for key strategic sectors and technologies. In sum, when it comes to digital and clean tech: faster, smarter and more European."
P14,"Europe should maintain its climate goals and Green Deal course, including the proposed 2040 targets.",3,We are firmly on track to achieve our 2030 target to cut emissions by at least 55%. This is the power of the European Green Deal. And we must stay the course on our climate and environmental goals.
P15,The Commission will pursue poverty eradication by 2050 through a European Anti-Poverty Strategy and stronger Child Guarantee.,2,We will lay out our plan to help eradicate poverty by 2050. Backed up by a strong Child Guarantee to shield our children from poverty.
P16,"Affordable energy requires ending dependence on Russian fossil fuels, expanding homegrown clean energy and modernising grids.",2,"So it is time to get rid of dirty Russian fossil fuels. And we know, what brings prices down: clean homegrown energy."
P17,The Commission will present the first European Affordable Housing Plan and revise rules to facilitate housing construction and support.,2,"We will present the first ever European Affordable Housing Plan. To make housing more affordable, more sustainable, and of better quality."
P18,"Europe should diversify trade, conclude new bilateral agreements and reduce economic dependencies.",2,The first is that we need to double down on diversification and partnerships.
P19,The EU will counter information manipulation and disinformation through a European Democracy Shield and a new resilience centre.,3,This is why we urgently need the European Democracy Shield. We need more capacity to monitor and detect information manipulation and disinformation. So we will set up a new European Centre for Democratic Resilience.
P20,"Migration policy should combine humane treatment with stronger returns, implementation of the Migration Pact and action against smugglers.",3,"We need a system that is humane, but we must not be naïve about it. We must be serious about returning rejected asylum seekers to their home countries."
